epo_train,disc_train,gen_train
219,0.001036,0.205133
220,0.001051,0.205869
221,0.001657,0.206413
222,0.002511,0.204647
223,0.001049,0.204966
224,0.000785,0.204478
225,0.001242,0.204538
226,0.00191,0.206039
227,0.001337,0.203844
228,0.00222,0.204024
229,0.001207,0.207279
230,0.001674,0.205014
231,0.001182,0.204041
232,0.000753,0.205562
233,0.001411,0.204562
234,0.001497,0.20373
235,0.000749,0.204569
236,0.00185,0.205564
237,0.000914,0.203738
238,0.001336,0.203536
239,0.001084,0.20387
240,0.000852,0.202036
241,0.001411,0.203463
242,0.00116,0.203087
243,0.001598,0.203738
244,0.001362,0.202923
245,0.002237,0.203826
246,0.00081,0.201387
247,0.000513,0.203635
248,0.00178,0.202864
249,0.0016,0.202011
250,0.00057,0.204
251,0.000606,0.203067
252,0.000884,0.202532
253,0.005382,0.201445
254,0.001004,0.20305
255,0.000661,0.201283
256,0.002179,0.201321
257,0.002788,0.201725
258,0.000798,0.20197
259,0.000752,0.200049
260,0.000661,0.202139
261,0.000594,0.200364
262,0.000744,0.200547
263,0.001203,0.20097
264,0.000775,0.201703
265,0.001126,0.20078
266,0.000863,0.200853
267,0.000769,0.201301
268,0.001019,0.201384
269,0.000983,0.201754
270,0.001,0.202494
271,0.002196,0.200513
272,0.00108,0.201022
273,0.209646,0.201136
274,0.005548,0.200756
275,0.002972,0.200783
276,0.002366,0.200144
277,0.002525,0.202661
278,0.001656,0.199404
279,0.0017,0.198884
280,0.001308,0.199315
281,0.001576,0.200174
282,0.00147,0.199283
283,0.001416,0.1994
284,0.002801,0.198564
285,0.001646,0.199617
286,0.00198,0.199555
287,0.000967,0.199098
288,0.00087,0.198982
289,0.00125,0.199878
290,0.001039,0.198164
291,0.001068,0.198916
292,0.000912,0.197239
293,0.00067,0.200482
294,0.001126,0.197021
295,0.000632,0.197309
296,0.000595,0.198001
297,0.000763,0.19737
298,0.000732,0.198759
299,0.000819,0.198928
300,0.000789,0.197943
301,0.000526,0.196702
302,0.000943,0.197054
303,0.000877,0.197662
304,0.000765,0.196646
305,0.000611,0.196697
306,0.000777,0.196286
307,0.000542,0.197044
308,0.000495,0.198687
309,0.00065,0.197161
310,0.000697,0.19708
311,0.000583,0.197606
312,0.000701,0.195812
313,0.000849,0.196863
314,0.000509,0.195637
315,0.000563,0.196791
316,0.000483,0.196069
317,0.000973,0.19557
318,0.001,0.19658
319,0.000561,0.196355
320,0.000632,0.195919
321,0.000412,0.195366
322,0.000388,0.194232
323,0.000795,0.195418
324,0.000902,0.194515
325,0.000601,0.19625
326,0.000457,0.195038
327,0.000702,0.196018
328,0.000788,0.194125
329,0.000677,0.195785
330,0.001101,0.195896
331,0.000716,0.195105
332,0.000631,0.194361
333,0.001154,0.194147
334,0.000636,0.194826
335,0.000445,0.195121
336,0.00095,0.194647
337,0.001706,0.194438
338,0.000508,0.194104
339,0.000336,0.194102
340,0.00048,0.193979
341,0.000857,0.192117
342,0.000959,0.194286
343,0.00064,0.194066
344,0.000627,0.194226
345,0.000703,0.194324
346,0.001211,0.192431
347,0.006129,0.19424
348,0.000506,0.194653
349,0.000444,0.193778
350,0.000809,0.193563
351,0.000765,0.193055
352,0.000963,0.194077
353,0.000835,0.191663
354,0.001154,0.193428
355,0.000735,0.192936
356,0.000723,0.193641
357,0.000817,0.193051
358,0.001028,0.194191
359,0.000634,0.193291
360,0.000894,0.192373
361,0.000886,0.193205
362,0.000685,0.191887
363,0.000638,0.192731
364,0.001236,0.192666
365,0.000638,0.192136
366,0.000489,0.19148
367,0.000526,0.192156
368,0.000679,0.191388
369,0.000957,0.192529
370,0.001427,0.192156
371,0.00046,0.191694
372,0.000489,0.19129
373,0.000567,0.192282
374,0.001119,0.193792
375,0.000553,0.192258
376,0.000275,0.192253
377,0.000364,0.191917
378,0.000323,0.191436
379,0.000562,0.190484
380,0.000892,0.190307
381,0.001032,0.19047
382,0.00112,0.191944
383,0.001769,0.191997
384,0.000549,0.190493
385,0.000248,0.189757
386,0.00049,0.18911
387,0.000738,0.189845
388,0.000739,0.189571
389,0.001864,0.194253
390,0.000698,0.18946
391,0.000691,0.190221
392,0.000952,0.189821
393,0.000602,0.189402
394,0.000615,0.189774
395,0.000622,0.191034
396,0.00119,0.190076
397,0.000771,0.189756
398,0.001042,0.1897
399,0.000452,0.189818
400,0.000347,0.19063
401,0.000788,0.189108
402,0.00094,0.19022
403,0.000684,0.188662
404,0.001044,0.189447
405,0.000885,0.189345
406,0.000867,0.188392
407,0.00103,0.18919
408,0.00068,0.189359
409,0.000562,0.189768
410,0.000435,0.189437
411,0.000658,0.1892
412,0.000922,0.18954
413,0.000487,0.189665
414,0.000574,0.188786
415,0.001112,0.189757
416,0.000658,0.188572
417,0.000695,0.188509
418,0.000701,0.189091
419,0.000515,0.188614
420,0.001141,0.187853
421,0.000501,0.189254
422,0.000394,0.187934
423,0.000875,0.187997
424,0.000687,0.187079
425,0.002028,0.186968
426,0.001019,0.188854
427,0.000326,0.187638
428,0.000385,0.187169
429,0.000803,0.187386
430,0.00065,0.187816
431,0.000433,0.18647
432,0.000623,0.187741
433,0.001456,0.187038
434,0.000361,0.186662
435,0.000492,0.187751
436,0.001886,0.187002
437,0.000921,0.18722
438,0.000207,0.187674
439,0.00026,0.187229
440,0.000726,0.186536
441,0.000424,0.187113
442,0.001271,0.187517
443,0.00127,0.18677
444,0.000484,0.188091
445,0.000588,0.18552
446,0.000991,0.18691
447,0.000607,0.186343
448,0.00054,0.187465
449,0.000606,0.18503
450,0.000731,0.185589
451,0.000828,0.187375
452,0.000721,0.186947
453,0.000672,0.185856
454,0.000324,0.185262
455,0.000949,0.187172
456,0.002496,0.18678
457,0.001975,0.187284
458,0.000265,0.186268
459,0.000392,0.185581
460,0.000788,0.184817
461,0.000671,0.183849
462,0.001012,0.185489
463,0.00098,0.186037
464,0.001036,0.185385
465,0.000422,0.185472
466,0.000354,0.186164
467,0.001459,0.185263
468,0.000401,0.186139
469,0.000853,0.185178
470,0.001203,0.185248
471,0.001049,0.185257
472,0.00074,0.185198
473,0.000493,0.185073
474,0.000933,0.184072
475,0.000418,0.184302
476,0.000458,0.185138
477,0.00095,0.185604
478,0.000809,0.18545
479,0.000845,0.183747
480,0.001751,0.183654
481,0.000542,0.18523
482,0.00153,0.185014
483,0.000481,0.185127
484,0.000531,0.183883
485,0.001429,0.182397
486,0.001333,0.184783
487,0.000735,0.184146
488,0.000313,0.183271
489,0.000783,0.184246
490,0.000924,0.184188
491,0.000583,0.183404
492,0.000709,0.18364
493,0.000252,0.184087
494,0.000695,0.183185
495,0.000319,0.184826
496,0.000434,0.184775
497,0.001012,0.182757
498,0.000355,0.183621
499,0.001472,0.182632
500,0.001362,0.18311
501,0.003892,0.1831
502,0.000423,0.18234
503,0.000257,0.183604
504,0.000294,0.183883
505,0.001574,0.182844
506,0.000371,0.183413
507,0.000169,0.182775
508,0.000489,0.18367
509,0.000363,0.182312
510,0.000518,0.181955
511,0.000839,0.182573
512,0.000798,0.182791
513,0.000711,0.183754
514,0.000641,0.18156
515,0.000871,0.18256
516,0.000513,0.18243
517,0.000458,0.182145
518,0.000507,0.182797
519,0.000937,0.182108
520,0.000484,0.181611
521,0.000607,0.181239
522,0.000894,0.182093
523,0.000554,0.182144
524,0.000776,0.182111
525,0.000441,0.181482
526,0.002024,0.182458
527,0.000924,0.182069
528,0.00322,0.182587
529,0.001739,0.181825
530,0.000739,0.181281
531,0.000711,0.182721
532,0.000229,0.182661
533,0.00054,0.180775
534,0.00345,0.181317
535,0.000762,0.181094
536,0.000241,0.182151
537,0.000646,0.180961
538,0.000496,0.182038
539,0.001255,0.182407
540,0.001868,0.182264
541,0.150724,0.18129
542,0.003977,0.18032
543,0.002013,0.179848
544,0.003231,0.181933
545,0.001331,0.182043
546,0.003318,0.181789
547,0.001146,0.180728
548,0.000895,0.180716
549,0.000903,0.180633
550,0.000566,0.180302
551,0.000964,0.181034
552,0.000699,0.180832
553,0.000679,0.180335
554,0.000405,0.180999
555,0.000486,0.180541
556,0.000478,0.181192
557,0.000418,0.180648
558,0.000577,0.18037
559,0.000295,0.180013
560,0.000395,0.179459
561,0.000632,0.179875
562,0.000438,0.179215
563,0.000454,0.179894
564,0.000257,0.179685
565,0.00053,0.180268
566,0.000515,0.181039
567,0.000369,0.181261
568,0.000381,0.179829
569,0.000457,0.18052
570,0.000298,0.180283
571,0.000617,0.179258
572,0.000309,0.178749
573,0.000219,0.179721
574,0.000365,0.178475
575,0.000374,0.178453
576,0.000219,0.179939
577,0.000355,0.179557
578,0.00035,0.178866
579,0.000209,0.179372
580,0.00036,0.178719
581,0.000165,0.178641
582,0.000248,0.178391
583,0.000295,0.178491
584,0.000346,0.178976
585,0.000392,0.179966
586,0.000278,0.179246
587,0.00031,0.180821
588,0.000149,0.17859
589,0.000289,0.179473
590,0.000437,0.177949
591,0.000347,0.178311
592,0.000243,0.178579
593,0.000214,0.178373
594,0.000312,0.1783
595,0.000472,0.178199
596,0.000489,0.177666
597,0.000406,0.178252
598,0.000167,0.178586
599,0.000269,0.178978
600,0.000303,0.178658
601,0.000148,0.177337
602,0.000316,0.178545
603,0.000446,0.179071
604,0.000737,0.178622
605,0.000259,0.17745
606,0.000182,0.17739
607,0.000209,0.177611
608,0.000387,0.177906
609,0.000198,0.177929
610,0.000201,0.179154
611,0.000168,0.177333
612,0.000273,0.177189
613,0.000537,0.178597
614,0.000494,0.17791
615,0.000268,0.177765
616,0.000295,0.176835
617,0.000237,0.177259
618,0.000535,0.178069
619,0.000355,0.178016
620,0.000783,0.177981
621,0.000239,0.176413
622,0.000144,0.17795
623,0.000364,0.177308
624,0.000444,0.176132
625,0.000548,0.177266
626,0.000524,0.176478
627,0.000371,0.177034
628,0.000257,0.176745
629,0.000182,0.175867
630,0.000166,0.176016
631,0.000477,0.1764
632,0.001093,0.175729
633,0.000436,0.176532
634,0.000181,0.176977
635,0.000266,0.176698
636,0.000438,0.176521
637,0.000414,0.178269
638,0.000489,0.175983
639,0.000421,0.176266
640,0.000492,0.17626
641,0.000566,0.177899
642,0.000818,0.176562
643,0.001015,0.175549
644,0.000338,0.175796
645,0.000224,0.177088
646,0.000242,0.174881
647,0.000503,0.176143
648,0.001185,0.174978
649,0.000229,0.17536
650,0.000088,0.175988
651,0.000355,0.176571
652,0.000838,0.175662
653,0.00381,0.17731
654,0.000706,0.176015
655,0.000737,0.177043
656,0.000319,0.175597
657,0.000282,0.174461
658,0.010885,0.175365
659,0.000635,0.175522
660,0.001163,0.174647
661,0.000236,0.175402
662,0.00028,0.175404
663,0.000272,0.175628
664,0.00025,0.17511
665,0.000275,0.174265
666,0.001436,0.17578
667,0.000477,0.174209
668,0.000262,0.175623
669,0.000156,0.174368
670,0.000286,0.174519
671,0.00069,0.17426
672,0.000308,0.173996
673,0.00055,0.175133
674,0.000262,0.17612
675,0.000932,0.175272
676,0.000243,0.175534
677,0.000098,0.174032
678,0.000369,0.17359
679,0.000775,0.175363
680,0.000524,0.174748
681,0.000516,0.174123
682,0.000698,0.174887
683,0.000698,0.175346
684,0.000527,0.174333
685,0.00036,0.174503
686,0.000516,0.174942
687,0.000434,0.174661
688,0.000528,0.174443
689,0.000869,0.174599
690,0.000324,0.174942
691,0.000129,0.17415
692,0.000142,0.174427
693,0.000284,0.172749
694,0.000419,0.174224
695,0.000619,0.175415
696,0.000494,0.174393
697,0.000828,0.173905
698,0.001294,0.172892
699,0.000269,0.174395
700,0.000455,0.17364
701,0.000169,0.173577
702,0.000516,0.174121
703,0.000724,0.174515
704,0.001047,0.173298
705,0.000386,0.173485
706,0.000668,0.173369
707,0.0007,0.175984
708,0.000956,0.174024
709,0.000529,0.173983
710,0.000277,0.173374
711,0.000401,0.173832
712,0.000296,0.173274
713,0.000308,0.172621
714,0.000757,0.173321
715,0.000751,0.173053
716,0.000657,0.173793
717,0.00205,0.173388
718,0.001913,0.174558
719,0.000183,0.174614
720,0.00015,0.173174
721,0.00013,0.172801
722,0.00031,0.172818
723,0.000333,0.173054
724,0.000284,0.17406
725,0.000398,0.17255
726,0.000484,0.173338
727,0.000969,0.172588
728,0.000409,0.174046
729,0.000572,0.172708
730,0.000972,0.172029
731,0.000149,0.173162
732,0.000227,0.173005
733,0.000446,0.173292
734,0.000588,0.172037
735,0.001014,0.173664
736,0.000593,0.172305
737,0.001298,0.173422
738,0.000539,0.172029
739,0.000317,0.172979
740,0.001112,0.172206
741,0.000634,0.17235
742,0.000613,0.172944
743,0.001127,0.171635
744,0.000221,0.17221
745,0.000381,0.171877
746,0.000543,0.172349
747,0.000523,0.17238
748,0.000312,0.172162
749,0.000406,0.171804
750,0.001613,0.171464
751,0.000652,0.171859
752,0.00029,0.172129
753,0.000225,0.171573
754,0.000175,0.172453
755,0.000545,0.170938
756,0.000886,0.172242
757,0.000587,0.172441
758,0.000457,0.171737
759,0.000447,0.171534
760,0.000595,0.17175
761,0.000476,0.171867
762,0.000728,0.173355
763,0.001925,0.170189
764,0.000359,0.172363
765,0.000307,0.171508
766,0.000265,0.16973
767,0.000643,0.171592
768,0.001072,0.169982
769,0.000274,0.171244
770,0.000426,0.171967
771,0.00016,0.171806
772,0.000429,0.17223
773,0.000379,0.172604
774,0.001059,0.171196
775,0.000815,0.170785
776,0.000318,0.170339
777,0.000333,0.171573
778,0.000541,0.171719
779,0.001021,0.17025
780,0.000465,0.17162
781,0.000164,0.170035
782,0.000329,0.171036
783,0.000259,0.170311
784,0.000505,0.170478
785,0.000387,0.171057
786,0.000514,0.171531
787,0.001375,0.171264
788,0.000799,0.170825
789,0.000125,0.170335
790,0.000249,0.170146
791,0.000303,0.171041
792,0.000244,0.170786
793,0.000296,0.169802
794,0.00032,0.170873
795,0.000306,0.170197
796,0.000503,0.16946
797,0.000901,0.171534
798,0.001047,0.170675
799,0.001031,0.169956
800,0.000442,0.17119
801,0.000166,0.170058
802,0.000873,0.169717
803,0.000396,0.169466
804,0.000488,0.169975
805,0.001511,0.169721
806,0.001075,0.169745
807,0.00045,0.17075
808,0.000178,0.169746
809,0.000899,0.170719
810,0.000268,0.169117
811,0.000131,0.17118
812,0.000195,0.170678
813,0.000618,0.170252
814,0.000386,0.169493
815,0.000501,0.170292
816,0.001418,0.16987
817,0.000982,0.169971
818,0.00015,0.170847
819,0.000408,0.169598
820,0.000371,0.168722
821,0.135684,0.169245
822,0.001817,0.168657
823,0.001342,0.169539
824,0.000781,0.170171
825,0.000594,0.169402
826,0.000706,0.168825
827,0.000679,0.168685
828,0.000524,0.169501
829,0.000497,0.169611
830,0.003726,0.169382
831,0.000431,0.169867
832,0.00062,0.168474
833,0.000349,0.168881
834,0.000321,0.169718
835,0.000438,0.168683
836,0.000301,0.169274
837,0.000447,0.168612
838,0.000443,0.168389
839,0.000351,0.169325
840,0.00028,0.168619
841,0.000514,0.168928
842,0.000302,0.169513
843,0.000167,0.169154
844,0.000136,0.168774
845,0.00017,0.169126
846,0.000171,0.168145
847,0.000284,0.169373
848,0.000256,0.168121
849,0.000204,0.169385
850,0.000216,0.168216
851,0.00016,0.168467
852,0.000195,0.168895
853,0.000178,0.168651
854,0.000192,0.168021
855,0.000348,0.168342
856,0.000092,0.168345
857,0.000218,0.16855
858,0.000187,0.168876
859,0.000355,0.168581
860,0.000143,0.168132
861,0.000278,0.168733
862,0.000544,0.170407
863,0.000324,0.167207
864,0.000173,0.167848
865,0.000239,0.168985
866,0.000475,0.167961
867,0.000218,0.16818
868,0.000198,0.167827
869,0.000125,0.167027
870,0.000173,0.168042
871,0.000202,0.167992
872,0.000117,0.167142
873,0.000173,0.16778
874,0.000197,0.168558
875,0.000287,0.167608
876,0.000212,0.168277
877,0.000133,0.168552
878,0.000171,0.167242
879,0.000174,0.16771
880,0.000262,0.166844
881,0.000359,0.167042
882,0.000222,0.166865
883,0.000276,0.169389
884,0.000245,0.166744
885,0.000132,0.166663
886,0.000151,0.168039
887,0.000158,0.167013
888,0.000184,0.16627
889,0.000354,0.166745
890,0.000286,0.167218
891,0.000128,0.166611
892,0.000524,0.167691
893,0.000303,0.167764
894,0.000183,0.16771
895,0.000675,0.16702
896,0.000182,0.167329
897,0.000193,0.168018
898,0.000229,0.166901
899,0.000109,0.167064
900,0.000147,0.166973
901,0.000081,0.16653
902,0.000394,0.167107
903,0.000457,0.1663
904,0.000338,0.166146
905,0.000433,0.166835
906,0.000342,0.167145
907,0.000121,0.167254
908,0.000112,0.167689
909,0.000217,0.166543
910,0.000824,0.167149
911,0.000512,0.166423
912,0.001261,0.167799
913,0.000222,0.167351
914,0.000071,0.165636
915,0.00017,0.16608
916,0.000132,0.167186
917,0.000359,0.168115
918,0.000531,0.166809
919,0.00022,0.166436
920,0.000185,0.167096
921,0.000619,0.165923
922,0.000187,0.167204
923,0.000153,0.16517
924,0.00056,0.165877
925,0.000639,0.166196
926,0.000764,0.165976
927,0.000185,0.166655
928,0.000109,0.165485
929,0.000165,0.165883
930,0.000246,0.165428
931,0.000413,0.166593
932,0.000631,0.166499
933,0.000314,0.165937
934,0.000269,0.167822
935,0.000531,0.166039
936,0.000908,0.166015
937,0.000392,0.164967
938,0.000382,0.165577
939,0.000101,0.166559
940,0.000377,0.167361
941,0.00031,0.165833
942,0.000681,0.165011
943,0.000507,0.164823
944,0.000085,0.165181
945,0.000212,0.166994
946,0.000671,0.165702
947,0.000156,0.16528
948,0.000327,0.165844
949,0.001074,0.165438
950,0.00011,0.164647
951,0.000205,0.165721
952,0.000773,0.165092
953,0.000761,0.166407
954,0.000182,0.166281
955,0.00016,0.167299
956,0.000136,0.165963
957,0.000135,0.166407
958,0.00034,0.165103
959,0.000587,0.165639
960,0.00067,0.165113
961,0.000286,0.166861
962,0.000422,0.165727
963,0.001379,0.165854
964,0.000196,0.164337
965,0.000211,0.166414
966,0.000076,0.165237
967,0.000292,0.16614
968,0.000644,0.164868
969,0.001074,0.16507
970,0.0005,0.165324
971,0.0002,0.164346
972,0.000118,0.165394
973,0.000268,0.164707
974,0.001759,0.164811
975,0.000658,0.164613
976,0.000531,0.165224
977,0.000539,0.165673
978,0.000429,0.164684
979,0.00027,0.163722
980,0.000481,0.164952
981,0.000725,0.164725
982,0.000232,0.164875
983,0.000279,0.164396
984,0.000318,0.164301
985,0.000288,0.16538
986,0.000783,0.164322
987,0.000355,0.163921
988,0.000256,0.164539
989,0.000456,0.164379
990,0.000763,0.164846
991,0.000533,0.165349
992,0.000392,0.164519
993,0.000163,0.164143
994,0.00017,0.164782
995,0.000804,0.165209
996,0.000825,0.163755
997,0.000872,0.163831
